,X-axis,Y-Axis,Z-Axis
896,10,-63,947
897,-28,-70,925
898,-59,-65,869
899,-58,-78,819
900,-57,-55,783
901,-33,-78,787
902,26,-61,782
903,26,-68,799
904,72,-63,827
905,59,-50,840
906,39,-67,912
907,67,-33,960
908,27,-55,1057
909,10,-44,1113
910,24,-61,1165
911,65,-73,1168
912,81,-88,1113
913,82,-96,1126
914,69,-64,1084
915,41,-40,1026
916,-29,-84,1008
917,-52,-43,1007
918,-60,-21,1037
919,-52,-50,1117
920,57,-37,1105
921,101,-99,1144
922,150,-82,1138
923,77,-82,1190
924,68,-82,1186
925,-4,-96,1224
926,-32,-69,1179
927,-52,-79,1121
928,-61,-116,1082
929,-28,-111,1020
930,3,-150,909
931,55,-126,762
932,72,-109,709
933,75,-50,659
934,84,9,633
935,83,61,662
936,63,-1,740
937,0,-27,821
938,9,-81,919
939,-27,-161,1028
940,-72,-229,1070
941,-101,-208,1061
942,-84,-109,1046
943,-61,-14,1028
944,13,58,1024
945,135,128,981
946,194,181,969
947,205,151,958
948,175,-3,970
949,121,-123,1063
950,103,-161,1198
951,24,-248,1244
952,-51,-256,1301
953,-98,-233,1366
954,-94,-113,1375
955,-128,-48,1382
956,-167,11,1291
957,-166,0,1149
958,-61,-6,1071
959,31,-75,1012
960,113,-46,897
961,162,-76,848
962,195,-35,797
963,222,-16,746
964,179,-37,659
965,116,-31,568
966,-5,-74,539
967,-77,-78,529
968,-79,-109,587
969,-1,-120,607
970,5,-156,670
971,14,-116,798
972,-3,-111,952
973,-18,-91,1090
974,-40,-114,1229
975,13,-76,1313
976,26,-69,1403
977,46,-3,1356
978,54,6,1287
979,29,9,1265
980,33,11,1281
981,66,23,1270
982,49,-1,1243
983,33,-45,1258
984,63,-34,1225
985,123,-76,1182
986,143,-99,1106
987,114,-109,1036
988,10,-126,1044
989,8,-149,983
990,-21,-139,969
991,-44,-116,898
992,-104,-72,843
993,-108,-101,885
994,-14,-98,859
995,15,-50,785
996,16,0,671
997,40,-26,651
998,90,-23,687
999,46,-32,655
1000,30,-25,646
1001,12,-34,681
1002,19,-106,777
1003,41,-101,933
1004,88,-85,1089
1005,75,-62,1211
1006,85,-41,1299
1007,61,-64,1411
1008,40,-75,1510
1009,-5,-91,1562
1010,-97,-89,1617
1011,-67,-58,1577
1012,-51,-57,1524
1013,39,-33,1449
1014,95,-12,1295
1015,91,-17,1172
1016,96,-1,948
1017,58,-60,783
1018,-7,-117,721
1019,-31,-148,651
1020,-77,-170,671
1021,-36,-142,643
1022,-15,-121,689
1023,62,-74,743
1024,119,-45,803
1025,167,-20,792
1026,150,-11,826
1027,95,-19,841
1028,32,-38,904
1029,3,-20,953
1030,-39,-33,1006
1031,-25,-64,1041
1032,-40,-67,1115
1033,-26,-57,1159
1034,9,-76,1163
1035,-24,-121,1179
1036,-75,-108,1215
1037,-74,-86,1278
1038,-31,-80,1338
1039,25,-49,1343
1040,59,-49,1338
1041,147,-25,1328
1042,220,17,1327
1043,284,36,1253
1044,208,5,1153
1045,134,17,1051
1046,20,-42,998
1047,-73,-76,954
1048,-145,-117,905
1049,-183,-128,815
1050,-170,-138,800
1051,-86,-149,774
1052,0,-146,755
1053,64,-109,712
1054,93,-93,708
1055,102,-76,713
1056,93,-84,781
1057,59,-71,860
1058,68,-50,974
1059,86,17,1042
1060,59,-15,1098
1061,92,8,1129
1062,46,-6,1171
1063,38,-15,1174
1064,-14,-35,1174
1065,-44,-87,1145
1066,-62,-111,1119
1067,-59,-142,1210
1068,25,-146,1291
1069,57,-141,1338
1070,70,-112,1319
1071,70,-66,1281
1072,26,-53,1213
1073,18,-19,1176
1074,-11,11,1088
1075,-31,20,1017
1076,20,-9,958
1077,46,-28,893
1078,81,-61,914
1079,104,-67,828
1080,110,-87,769
1081,64,-95,745
1082,28,-112,764
1083,13,-101,770
1084,-34,-129,812
