,X-axis,Y-Axis,Z-Axis
972,-63,-150,1225
973,18,-121,1111
974,55,-85,1029
975,69,-28,991
976,67,30,975
977,108,105,927
978,121,103,903
979,128,93,878
980,187,77,918
981,183,52,956
982,143,7,959
983,74,-53,970
984,60,-98,1022
985,-41,-141,1089
986,-60,-163,1065
987,-113,-251,1078
988,-72,-240,1071
989,-50,-203,1095
990,-38,-180,1039
991,-31,-162,1008
992,-24,-113,970
993,-49,-76,968
994,-43,-52,977
995,-19,1,942
996,16,29,996
997,115,20,1020
998,129,23,1083
999,180,43,1073
1000,212,23,1051
1001,204,1,1025
1002,168,-16,1080
1003,148,2,1090
1004,114,0,1124
1005,24,-52,1142
1006,-28,-75,1137
1007,-68,-147,1144
1008,-100,-134,1138
1009,-107,-135,1077
1010,-160,-198,1066
1011,-127,-197,1016
1012,-103,-193,989
1013,-49,-157,943
1014,10,-150,891
1015,62,-108,854
1016,76,-57,847
1017,99,-18,865
1018,135,37,858
1019,122,62,838
1020,101,65,872
1021,108,63,915
1022,103,24,989
1023,118,28,1027
1024,113,0,1085
1025,101,-7,1156
1026,49,-36,1246
1027,0,-38,1275
1028,-24,-101,1318
1029,-81,-136,1318
1030,-112,-183,1361
1031,-84,-183,1369
1032,-70,-198,1366
1033,-16,-156,1257
1034,59,-97,1139
1035,39,-72,1018
1036,67,7,923
1037,46,15,842
1038,36,-11,763
1039,16,-39,700
1040,-6,-47,688
1041,20,-24,697
1042,76,2,742
1043,143,33,754
1044,215,32,809
1045,220,17,846
1046,169,-9,915
1047,70,-60,1009
1048,47,-96,1068
1049,-42,-154,1191
1050,-61,-173,1255
1051,-88,-222,1351
1052,-76,-186,1414
1053,-93,-180,1427
1054,-66,-133,1384
1055,-61,-107,1314
1056,-84,-124,1233
1057,-84,-76,1132
1058,-100,-64,1014
1059,-36,-31,931
1060,65,-12,811
1061,189,19,751
1062,298,47,728
1063,300,86,734
1064,297,105,770
1065,202,73,848
1066,94,28,920
1067,14,-1,976
1068,-51,-56,985
1069,-83,-121,1017
1070,-116,-203,1105
1071,-62,-173,1118
1072,-66,-176,1096
1073,-65,-172,1046
1074,-85,-157,1038
1075,-97,-106,1034
1076,-137,-106,1084
1077,-111,-86,1118
1078,-75,-120,1139
1079,19,-86,1143
1080,90,-87,1118
1081,184,-44,1058
1082,241,-9,1022
1083,245,15,986
1084,218,53,975
1085,142,68,956
1086,72,37,966
1087,34,18,993
1088,-30,-38,1026
1089,-46,-87,1067
1090,-34,-132,1101
1091,-9,-176,1109
1092,-57,-173,1105
1093,-78,-180,1040
1094,-115,-180,997
1095,-160,-206,949
1096,-142,-199,950
1097,-125,-216,927
1098,-49,-196,949
1099,48,-151,913
1100,143,-66,884
1101,150,9,833
1102,168,50,789
1103,143,122,784
1104,76,117,820
1105,91,78,828
1106,89,8,839
1107,77,-17,896
